en 嗯
o 哦
zhang'da 长大
chang'cheng 长城
chong'fu 重复
ao'kou 拗口
ba'kai 扒开
ba'la 扒拉
pa'shou 扒手
pa'cao 扒草
ba'wo 把握
ba'chi 把持
ba'bing 把柄
zhi'bao 纸薄
dan'bo 单薄
xi'bo 稀薄
diao'bao 碉堡
bao'lei 堡垒
shi'li'bu 十里堡
bao'lu 暴露
di'pu'shi'han 地暴十寒
fu'bi 复辟
kai'pi 开辟
bian'dan 扁担
pian'zhou 扁舟
kuang'cang 矿藏
bao'zang 宝藏
chan'shi 禅师
chan'dong 颤动
chan'dou 颤抖
zhan'li 颤栗
da'zhan 打颤
tang'chi 汤匙
yao'shi 钥匙
chou 臭
ru'xiu 乳臭
tong'xiu 铜臭
chu'sheng 畜牲
chu'li 畜力
xu'mu 畜牧
xu'yang 畜养
cuan'dong 攒动
cuan'she 攒射
ji'zan 积攒
di'fang 提防
di'liu 提溜
ti'gao 提高
ti'qu 提取
dou 都
du'shi 都市
shou'du 首都
bu'ji 补给
pei'ji 配给
yin'hang'gao'ge 引吭高歌
keng'sheng 吭声
hui'he 会合
kuai'ji 会计
cai'kuai 财会
ji'ou 奇偶
qi'guai 奇怪
qi'yi 奇异
xue'jia 雪茄
qie'zi 茄子
jiao'luo 角落
hao'jiao 号角
jue'se 角色
jue'dou 角斗
jiao'chang 校场
jiao'kan 校勘
xue'xiao 学校
yuan'xiao 院校
xiao'yuan 校园
wei'jie 慰藉
zhen'jie 枕藉
lang'ji 狼藉
jun'lie 龟裂
wu'gui 乌龟
qiu'zi 龟兹
ka'che 卡车
ka'pian 卡片
guan'qia 关卡
qia'zi 卡子
bei'ke 贝壳
nao'ke 脑壳
di'qiao 地壳
jia'ke 甲壳
bi'lu 秘鲁
bi'xing 秘姓
mi'jue 秘诀
mi'mi 秘密
